   2.4314583e+06   1.9450049e+03   1.4750000e+01   1.4000000e-01
   2.4314583e+06   1.9450050e+03   1.4710000e+01   1.0000000e-01
   2.4314583e+06   1.9450050e+03   1.4640000e+01   1.6000000e-01
   2.4314603e+06   1.9450103e+03   1.4980000e+01   1.0000000e-01
   2.4314603e+06   1.9450104e+03   1.5100000e+01   1.2000000e-01
   2.4314703e+06   1.9450378e+03   1.5040000e+01   2.3000000e-01
   2.4314943e+06   1.9451037e+03   1.3530000e+01   1.7000000e-01
   2.4314963e+06   1.9451090e+03   1.3380000e+01   2.3000000e-01
   2.4315242e+06   1.9451856e+03   1.4160000e+01   1.4000000e-01
   2.4315542e+06   1.9452678e+03   1.4650000e+01   1.5000000e-01
   2.4315572e+06   1.9452760e+03   1.5030000e+01   1.4000000e-01
   2.4315752e+06   1.9453252e+03   1.4810000e+01   2.4000000e-01
   2.4315892e+06   1.9453636e+03   1.3420000e+01   1.5000000e-01
   2.4316576e+06   1.9455510e+03   1.3550000e+01   7.0000000e-02
   2.4316696e+06   1.9455839e+03   1.4900000e+01   1.1000000e-01
   2.4316706e+06   1.9455867e+03   1.4910000e+01   1.0000000e-01
   2.4316746e+06   1.9455976e+03   1.4850000e+01   1.9000000e-01
   2.4316746e+06   1.9455977e+03   1.5130000e+01   1.1000000e-01
   2.4316746e+06   1.9455977e+03   1.5160000e+01   1.3000000e-01
   2.4316756e+06   1.9456003e+03   1.5110000e+01   7.0000000e-02
   2.4316766e+06   1.9456030e+03   1.5210000e+01   1.0000000e-01
   2.4316766e+06   1.9456031e+03   1.5070000e+01   1.2000000e-01
   2.4316776e+06   1.9456059e+03   1.5090000e+01   1.0000000e-01
   2.4316786e+06   1.9456086e+03   1.5090000e+01   2.5000000e-01
   2.4316805e+06   1.9456138e+03   1.4090000e+01   2.9000000e-01
   2.4316806e+06   1.9456140e+03   1.3760000e+01   2.6000000e-01
   2.4316806e+06   1.9456140e+03   1.3910000e+01   1.3000000e-01
   2.4316816e+06   1.9456167e+03   1.3580000e+01   1.4000000e-01
   2.4316816e+06   1.9456167e+03   1.3440000e+01   1.0000000e-01
   2.4316825e+06   1.9456193e+03   1.3470000e+01   1.7000000e-01
   2.4316826e+06   1.9456195e+03   1.3520000e+01   9.0000000e-02
   2.4316836e+06   1.9456221e+03   1.3530000e+01   1.4000000e-01
   2.4316836e+06   1.9456222e+03   1.3880000e+01   2.9000000e-01
   2.4316836e+06   1.9456223e+03   1.3600000e+01   5.0000000e-02
   2.4316876e+06   1.9456332e+03   1.4110000e+01   9.0000000e-02
   2.4317015e+06   1.9456713e+03   1.5150000e+01   1.1000000e-01
   2.4317016e+06   1.9456714e+03   1.5150000e+01   9.0000000e-02
